Farm size (litres),Region,Solids profile,Seasonality,Price option,Attribute,Months,Value
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.71991721
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,51.64805366
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.945157647
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,50.53628156
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.223167063
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,56.53417815
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.714783666
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,50.41817826
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.358641723
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,46.5638231
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.45025214
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,49.580833
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.688301622
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,48.66840406
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,6.987842312
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,54.69218057
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.5004455
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,48.75721783
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.061065133
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,44.38427991
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.444048994
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,49.53123189
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.666394902
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,48.5085498
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,6.963283789
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,54.50010473
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.438818874
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,48.29498138
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.075558382
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,44.49109631
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.459833092
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,49.6517903
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.675935942
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,48.57788929
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,6.972776809
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,54.57409405
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Season,6.455049082
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Season,48.41671762
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.097889524
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Sep-Nov,44.65442674
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.501115142
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Dec-Feb,49.96827044
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.712458492
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Jul-Aug,48.84317899
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.000592792
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,c/litre,Mar-Jun,54.79108153
