Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,% of litres
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"500,000 to 750,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"750,000 to 1,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"1,000,000 to 1,500,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"1,500,000 to 2,000,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Dec,0.102312317
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Feb,0.059288209
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Jan,0.080250575
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Jul,0.063121011
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Jun,0.063471501
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Mar,0.053807054
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,May,0.05444753
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Nov,0.127072268
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Oct,0.140118561
"2,000,000 to 2,500,000",Western VIC,Average,Highly seasonal,Minimum,Sep,0.118328211
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Apr,0.048439127
"2,500,000 to 3,000,000",Western VIC,Average,Highly seasonal,Minimum,Aug,0.089343635
